UNRELATED_PARTY_REVENUES,RELATED_PARTY_REVENUES,TOTAL_REVENUES,COUNTRY_CODE,COUNTRY_NAME,CONS_2016_x,SHARE_OF_UNRELATED_PARTY_REVENUES,SHARE_OF_RELATED_PARTY_REVENUES,SHARE_OF_TOTAL_REVENUES,CONS_2016_y,SHARE_OF_CONS_2016
3348737763.9138803,1565580504.4689076,4769088273.955632,BGR,Bulgaria,41078.7830226474,0.026915349374480493,0.02819293001035575,0.026291536214995068,41078.7830226474,0.0730456978190994
712907488.9303824,244651703.3743291,1188196806.51581,BHR,Bahrain,20063.2937047872,0.005729966180994245,0.004405681043202949,0.006550417516835112,20063.2937047872,0.035676258676109046
14296523203.801348,3096304757.5505185,24549730248.547096,BHS,Bahamas,9034.488083,0.11490774853058223,0.05575816961898491,0.13534035958673485,9034.488083,0.01606499603693815
768120941.0171375,179030104.31086388,884250644.2385211,BIH,Bosnia and Herzegovina,16757.0700899745,0.006173742152078129,0.0032239691195535807,0.0048747908406499086,16757.0700899745,0.029797179664522132
848949075.6407981,934650110.2956563,1451209047.5543187,BLR,Belarus,33484.223711792,0.006823395136592718,0.01683115308891485,0.008000379325681114,33484.223711792,0.059541162298070736
5894884.101170524,5312876.071797283,14153709.487287072,BLZ,Belize,1645.7007015,4.7379901410863475e-05,9.56741239548626e-05,7.802807249211954e-05,1645.7007015,0.0029263611844629
14225099045.916374,7854561986.049027,35275161394.67023,BMU,Bermuda,4205.443,0.11433367964290521,0.14144473292978396,0.1944686552275791,4205.443,0.007478057916274889
4273777384.848,803021277.263908,5062226979.836755,BOL,Bolivia (Plurinational State of),29314.0955137482,0.03435031930583136,0.014460784739017844,0.02790758239803161,29314.0955137482,0.052125900651851166
310968819917.17224,68581961825.39387,372725145901.25977,BRA,Brazil,1519709.163667677,2.4993997806678796,1.2350220536069654,2.0547987600100055,1519709.163667677,2.702324854195042
221474178.70535052,1455737587.1669247,905883530.1869618,BRB,Barbados,4414.07,0.0017800900869328082,0.026214881822614278,0.004994050911270606,4414.07,0.007849035430153611
182980879.46747684,1178439.89546265,147680608.42098725,BRN,Brunei Darussalam,5400.7112882716,0.0014707016932734359,2.1221312733106574e-05,0.000814149338723063,5400.7112882716,0.009603466698460683
2148086034.893216,702657989.8521024,2541443065.422396,BWA,Botswana,10251.7865990858,0.017265157856977027,0.012653445461648575,0.01401073717964119,10251.7865990858,0.01822957865158424
109787572.45556726,819435.8732338309,104917918.15392639,CAF,Central African Republic,1796.2462098622,0.0008824133383809735,1.4756378324916061e-05,0.0005784026393073861,1796.2462098622,0.003194059029985376
536420440850.4297,152086223753.28436,716687228650.3643,CAN,Canada,1215447.745624133,4.311458404622173,2.738764470799403,3.9510294514336355,1215447.745624133,2.1612916013801673
256520343868.00012,128677690509.27625,370948510384.70807,CHE,Switzerland,442586.3548109853,2.0617722746971885,2.3172242577540936,2.0450043350924894,442586.3548109853,0.7870006546824045
70080113578.30536,17917958575.38617,88234758126.7392,CHL,Chile,193286.8257296603,0.5632661839005293,0.3226660977205266,0.4864299433036822,193286.8257296603,0.3436998378671001
1243554926914.4187,552142211110.2096,1984264565852.7173,CHN,China,6182667.931848642,9.995024299883907,9.942961520764364,10.939064386404672,6182667.931848642,10.993930692072066
2776073024.18884,530324644.7894793,4218744715.1094685,CIV,Côte d'Ivoire,36731.0053207733,0.022312578829040496,0.009550071395650481,0.023257543808708193,36731.0053207733,0.06531454239464042
1840309738.6868124,71470366.2877698,1867546694.187997,CMR,Cameroon,26806.2427965868,0.014791417861314592,0.001287036360515436,0.01029560971047248,26806.2427965868,0.047666473223059405
843390895.2710612,153112773.57606533,1067544574.8788333,COD,"Congo, Dem. Rep. of the",36223.300134863,0.006778721478311695,0.002757250551344731,0.005885273083500378,36223.300134863,0.06441174837635737
1362871594.8512003,737334769.1481124,3038842415.7964377,COG,Congo,6823.3086174352,0.01095402737212326,0.013277903934966502,0.016752853131885317,6823.3086174352,0.012133108693138382
90361568257.97989,10657532433.8233,99687503396.9322,COL,Colombia,236444.410952633,0.7262775861096188,0.19192054648879536,0.5495678534733849,236444.410952633,0.4204420316916173
8631498980.218208,339902687.37679213,8830208536.85603,CRI,Costa Rica,47530.3520342483,0.06937533693486897,0.006120958103522455,0.04868011120711513,47530.3520342483,0.08451778452187861
304783650.42728037,48263234.59357777,445989436.59669983,CUW,Curaçao,2564.3153418994,0.0024496867217491526,0.0008691229809556828,0.002458697920905053,2564.3153418994,0.00455982845144161
1683945662.3957326,391973253.55427325,2024811023.8017757,CYP,Cyprus,16932.0854098941,0.013534647687088263,0.007058643405332801,0.011162593204979724,16932.0854098941,0.030108389375031623
42987976412.32539,28836551470.035164,70288724915.55786,CZE,Czechia,130222.8662809132,0.3455141864220993,0.519287813698544,0.38749514592029716,130222.8662809132,0.2315604173144159
731360355569.8088,423798510200.0363,1142859772487.5405,DEU,Germany,2519334.624931811,5.878280378036767,7.631751738385262,6.300478701790693,2519334.624931811,4.479844391118071
38088390685.11701,29167174733.110588,70192703305.82463,DNK,Denmark,224007.7286919658,0.30613395693410794,0.5252416681883474,0.38696578779465496,224007.7286919658,0.3983273031763151
