AFFILIATE_COUNTRY_CODE,AFFILIATE_COUNTRY_NAME,UNRELATED_PARTY_REVENUES,RELATED_PARTY_REVENUES,TOTAL_REVENUES,COUNTRY_CODE,CONS_2016_x,SHARE_OF_UNRELATED_PARTY_REVENUES,SHARE_OF_RELATED_PARTY_REVENUES,SHARE_OF_TOTAL_REVENUES,CONS_2016_y,SHARE_OF_CONS_2016
GEO,Georgia,271233323.295,15125578.842,286358902.13600004,GEO,12881.597988782,0.004218267277992423,0.00043502808148152173,0.002890059276161769,12881.597988782,0.02290945507894283
GHA,Ghana,3728903319.0699997,705172126.125,4434075458.477,GHA,44807.4212404727,0.05799254554176781,0.020281516518930218,0.04475062871936356,44807.4212404727,0.07968837445523626
GIN,Guinea,389557815.267,263702.933,389821518.2,GIN,8640.5369202365,0.006058470121091112,7.584382867087122e-06,0.003934249245676727,8640.5369202365,0.015366881702448007
GNB,Guinea-Bissau,34101.333,0.0,34101.333,GNB,1180.9788029085,5.303497939792965e-07,0.0,3.441655664656967e-07,1180.9788029085,0.0021003279917582774
GNQ,Equatorial Guinea,1453656405.0,996256824.0,2449913229.0,GNQ,8214.3838604741,0.022607514342868496,0.02865342869418987,0.02472559574872305,8214.3838604741,0.014608983933251756
GRC,Greece,7313811414.243,1359453674.658,8673265067.874,GRC,171027.3596896005,0.11374565260387921,0.039099364733553285,0.08753438421870471,171027.3596896005,0.30416595964966725
GRL,Greenland,98818130.317,1613571.571,100431701.888,GRL,2160.5890865001,0.0015368365528420904,4.640807153218599e-05,0.0010136006581149628,2160.5890865001,0.0038425293713042173
GTM,Guatemala,6808353328.273,973680188.533,7782033519.019,GTM,62753.7646443016,0.10588468154566986,0.028004100128578558,0.07853968565769007,62753.7646443016,0.11160529566325286
HKG,"Hong Kong, China",282811108247.796,239070369287.51,521881391051.27295,HKG,244505.6523559535,4.398326980187993,6.8759235713634705,5.267055237373481,244505.6523559535,0.43484443964750447
HND,Honduras,2684947791.348,1634865470.953,4319813262.299,HND,19765.2834030225,0.04175676968365369,0.04702050723071879,0.04359744466426472,19765.2834030225,0.03515184006195905
HRV,Croatia,3056553681.387,913799069.525,3970357812.538,HRV,40863.0475786024,0.047536048377060686,0.02628185408489773,0.040070587434914796,40863.0475786024,0.07267344887691311
HTI,Haiti,2763633.99,137683.292,2901317.282,HTI,14009.4818830318,4.298051097388719e-05,3.959921071219004e-06,2.928136286802177e-05,14009.4818830318,0.02491535570028508
HUN,Hungary,19330906298.817,16802499237.577,36131851664.727005,HUN,90112.178978652,0.30063757839057736,0.4832581340372252,0.36465844885433935,90112.178978652,0.16026124384372925
IDN,Indonesia,43590718389.176994,18684736660.296,62275455012.985,IDN,627662.3726493294,0.6779303470955095,0.5373933273710825,0.6285111274522024,627662.3726493294,1.1162747776692656
IND,India,70107661292.691,42325143961.113,115208881607.81,IND,1594339.066917459,1.0903264022831298,1.217317126714178,1.1627384184785772,1594339.066917459,2.83547423743215
IRL,Ireland,167103523074.524,213956962169.003,381060484398.395,IRL,138863.5877552906,2.5988227215572017,6.153634696845005,3.8458290610125534,138863.5877552906,0.24696385716672004
IRN,Iran,4018386.179,1731431.011,5749816.638,IRN,311432.1566130215,6.24946327512154e-05,4.979783708121188e-05,5.8029664127533014e-05,311432.1566130215,0.5538708014547286
IRQ,Iraq,3342383597.571,4175105638.123,7517489235.688001,IRQ,132296.5834247191,0.05198132437730688,0.12008057441689102,0.07586978905488351,132296.5834247191,0.23528467801165964
