AFFILIATE_COUNTRY_NAME,UNRELATED_PARTY_REVENUES,RELATED_PARTY_REVENUES,TOTAL_REVENUES,CODE,CONTINENT_NAME,CONTINENT_CODE,COUNTRY_CODE,CONS_2016,SHARE_OF_UNRELATED_PARTY_REVENUES,SHARE_OF_RELATED_PARTY_REVENUES,SHARE_OF_TOTAL_REVENUES,SHARE_OF_CONS_2016
Romania,4586252187,3861483524,8447735711,ROU,Europe,EUR,ROU,146050.8312427378,0.15197764577173925,0.18759576325582825,0.16642106805163512,0.36509582965717263
Russia,29057240303,7747132709,36804373012,RUS,Asia-Pacific,APAC,RUS,915632.8062501061,0.9628888237744958,0.3763655249481902,0.7250490871361274,2.288886110504969
Serbia,479980755,325336559,805317314,SRB,Europe,EUR,SRB,41566.8542002353,0.015905436985653044,0.0158052623353961,0.01586481538974296,0.10390824202329378
Slovakia,4568071233,1600478299,6168549532,SVK,Europe,EUR,SVK,66349.2967756599,0.15137517157840194,0.07775326405233025,0.12152091833414294,0.16585904610990715
Slovenia,863329804,229309634,1092639438,SVN,Europe,EUR,SVN,32672.991443339,0.028608725771428468,0.011140152623928333,0.021525084174984596,0.08167548802623265
Spain,49176664808,28888333867,78064998675,ESP,Europe,EUR,ESP,951891.1084252169,1.6295993852258213,1.4034318694581223,1.5378867073251623,2.3795241082619363
Sweden,17886307490,12297566158,30183873648,SWE,Europe,EUR,SWE,372417.6715113986,0.5927102987456425,0.5974313486670865,0.5946247210237522,0.9309644977882132
Switzerland,131145413215,165027536279,296172949494,CHE,Europe,EUR,CHE,442586.3548109853,4.3458515453366715,8.01724685190911,5.834630754204766,1.106371193027326
Turkey,13566000656,2928316698,16494317354,TUR,Asia-Pacific,APAC,TUR,644796.5469877567,0.4495454585076768,0.14226133624598544,0.32493936893183895,1.611853409388115
Ukraine,1831162084,1193883734,3025045818,UKR,Europe,EUR,UKR,79539.0170517299,0.060680418608823394,0.058000384807144464,0.05959364416208737,0.19883052478046936
United Kingdom,386316979376,133920690779,520237670155,GBR,Europe,EUR,GBR,2282494.378618876,12.80163904061694,6.506036875798999,10.248723642615074,5.705747593210822
"United Kingdom Islands, Caribbean",16565917723,38141232607,54707150331,UKI,America,AMR,UKI,4822.4787807740995,0.5489556773014566,1.8529494164503006,1.0777352298428673,0.012055165153730524
