AFFILIATE_COUNTRY_CODE,OTHER_COUNTRY_CODE,AFFILIATE_COUNTRY_NAME,UNRELATED_PARTY_REVENUES,RELATED_PARTY_REVENUES,TOTAL_REVENUES
MCO,FRA,Monaco,3647898.799189777,7206040.831854997,9721195.284556918
MCO,GBR,Monaco,3731472.004006947,7371130.917823191,9943907.451014064
MCO,HKG,Monaco,461502.05817625846,911648.8308123783,1229845.4202602345
MCO,HUN,Monaco,667977.4239164817,1319519.2236606418,1780076.515557295
MCO,IND,Monaco,648324.3856688066,1280696.7113381482,1727703.6200200205
MCO,IRL,Monaco,1036482.372107167,2047462.0339141733,2762096.237563519
MCO,ISR,Monaco,307024.3910310209,606494.428693128,818181.7058624623
MCO,ITA,Monaco,2546342.1788148694,5030031.457147336,6785684.292300382
MCO,JPN,Monaco,913466.307676777,1804456.7226219892,2434273.770084139
MCO,KOR,Monaco,578158.3216218178,1142091.0234157047,1540719.8113954486
MCO,LUX,Monaco,468661.9661190358,925792.4767379274,1248925.6818471644
MCO,MCO,Monaco,105474103.24250904,21666436.11903605,149367868.63136035
MCO,MEX,Monaco,422334.2933075938,834277.0262549762,1125468.212418705
MCO,NLD,Monaco,2654316.3071749522,5243323.004028932,7073421.876386133
MCO,NOR,Monaco,573216.4085138901,1132328.7932652642,1527550.2293850742
MCO,POL,Monaco,1141122.4636294257,2254167.541294454,3040949.029342643
MCO,PRT,Monaco,497364.3873857174,982491.0944920027,1325414.0543686291
MCO,ROU,Monaco,544221.7830887564,1075052.9568949512,1450283.1692289896
MCO,RUS,Monaco,1176318.2172242457,2323693.0548773725,3134741.3225823524
MCO,SAU,Monaco,416574.74697220244,822899.6475637117,1110119.739843416
MCO,SGP,Monaco,643507.2838992821,1271181.0328741227,1714866.6446583318
MCO,SVK,Monaco,392585.2105020915,775510.8385925612,1046190.6174500687
MCO,SWE,Monaco,1188171.8383135712,2347108.6380053884,3166329.7442414374
MCO,TUR,Monaco,781975.4728451478,1544710.3927561846,2083867.0965734615
MCO,USA,Monaco,3971357.4908421803,31579055.644149926,27327472.19041962
MEX,ARG,Mexico,167272150.24477968,209446236.49198934,362052407.1611188
MEX,AUS,Mexico,164840364.7635979,206401328.44098353,356788926.1460608
MEX,BEL,Mexico,171588608.07629547,214850996.61771488,371395169.5158971
MEX,BRA,Mexico,340391155.3601054,426213486.94929624,736760046.3922813
MEX,CAN,Mexico,2000564892.5229847,2504964436.6009283,4330125092.3124075
MEX,CHN,Mexico,918153406.2102386,1149646101.7068603,1987298246.4513497
MEX,COL,Mexico,253111265.82748705,316927844.6155749,547846984.3206875
MEX,DEU,Mexico,723032544.7044489,905329698.5060965,1564968662.643497
MEX,ESP,Mexico,375696259.18238527,470420015.73316497,813176220.9032475
MEX,FRA,Mexico,233873678.53638428,292839912.1569357,506208165.3270681
MEX,GBR,Mexico,237558527.7131307,297453817.0477424,514183841.56793916
MEX,IND,Mexico,281229421.7288998,352135390.6537398,608707360.7440236
MEX,JPN,Mexico,418465385.61630785,523972460.39610845,905747908.1501695
MEX,KOR,Mexico,336765583.54596186,421673804.93712276,728912673.1103255
MEX,MEX,Mexico,115801869637.61258,9593146296.89369,136801473671.59195
MEX,SGP,Mexico,171607485.30300158,214874633.3323934,371436028.3519883
MEX,USA,Mexico,6931704034.051416,72707603496.91966,68828542953.30998
MKD,ALB,North Macedonia,274555.42598576803,2258126.8552413536,1841376.1600876222
MKD,AUT,North Macedonia,194362.0300825559,1598562.9065345738,1303538.6473797231
MKD,BEL,North Macedonia,382726.8875553864,3147801.067521264,2566855.723352399
MKD,BGR,North Macedonia,763773.4958169515,6281782.397974646,5122442.224022994
MKD,BIH,North Macedonia,170087.5251554837,1398913.195454554,1140735.4738122944
MKD,CHE,North Macedonia,247488.2334932297,2035508.2198822543,1659843.1133546603
MKD,CHN,North Macedonia,304872.6691654704,2507476.0740927686,2044706.5026960282
MKD,CZE,North Macedonia,756863.4454322112,6224949.5370365335,5076098.204421921
MKD,DEU,North Macedonia,5865715.4499830995,48243554.23045823,39339920.35552197
MKD,ESP,North Macedonia,291536.88864734763,2397793.724835033,1955266.6810860008
MKD,FRA,North Macedonia,143334.85045527574,1178881.3640923612,961311.8210665069
MKD,GBR,North Macedonia,531895.5508812505,4374663.597763338,3567293.5019691703
MKD,GRC,North Macedonia,666609.003032129,5482636.834758984,4470783.711070304
MKD,HRV,North Macedonia,170084.9696030813,1398892.176887942,1140718.3343467286
MKD,HUN,North Macedonia,192572.0217574577,1583840.684762787,1291533.4988951872
MKD,IND,North Macedonia,111941.04134422357,920677.7493305742,750761.213793389
MKD,ITA,North Macedonia,415935.4924141362,3420930.772342791,2789577.722297128
MKD,MKD,North Macedonia,32115761.710810706,27467822.584102243,114463011.61651303
MKD,NLD,North Macedonia,160571.3371467621,1320645.721319354,1076912.7259235678
MKD,OEUR,North Macedonia,110256.85693661899,906825.8940035999,739465.8004675744
MKD,POL,North Macedonia,284502.67861555243,2339939.692188713,1908089.953068
MKD,ROU,North Macedonia,381266.5580526011,3135790.3441640367,2557061.650178843
MKD,RUS,North Macedonia,189867.67841819368,1561598.36229453,1273396.1288696874
MKD,SRB,North Macedonia,552953.3295962708,4547856.808050072,3708522.8787735784
MKD,SVN,North Macedonia,253251.72380701543,2082911.0064444023,1698497.4346983263
MKD,SWE,North Macedonia,84974.33195179864,698885.5539737047,569902.0826618986
MKD,TUR,North Macedonia,230430.97824414336,1895217.9815219133,1545444.269990242
MKD,USA,North Macedonia,1209236.8356152761,40034636.66296745,20941483.569681235
MLT,ARE,Malta,4510364.667798216,-3866941.0250770436,3755898.1759500434
MLT,AUS,Malta,5494702.593764317,-4710858.754309276,4575582.013722586
MLT,AUT,Malta,8794469.07618776,-7539898.826203576,7323383.538703351
MLT,BEL,Malta,8048259.779675635,-6900139.615029809,6701995.615093392
MLT,BGR,Malta,6731697.867391164,-5771391.1333351,5605660.20785271
MLT,CAN,Malta,14293595.618255856,-12254550.43285378,11902649.489444
MLT,CHE,Malta,13810576.990104388,-11840436.56698157,11500427.292782992
MLT,CHN,Malta,33366706.03604785,-28606796.55542469,27785325.482214432
MLT,CYP,Malta,11176391.603503276,-9582029.478119997,9306872.487938553
MLT,DEU,Malta,83442931.17243949,-71539424.76249944,69485102.88403833
MLT,DNK,Malta,11987762.484668348,-10277654.683179468,9982522.160867218
