UNRELATED_PARTY_REVENUES,RELATED_PARTY_REVENUES,TOTAL_REVENUES,COUNTRY_CODE,COUNTRY_NAME,CONS_2017_x,SHARE_OF_UNRELATED_PARTY_REVENUES,SHARE_OF_RELATED_PARTY_REVENUES,SHARE_OF_TOTAL_REVENUES,CONS_2017_y,SHARE_OF_CONS_2017
10543130.848539084,29433097.57987039,35665592.270068884,BLZ,Belize,1641.102719,6.073995402804485e-05,0.00040835233135777765,0.00014418430418618967,1641.102719,0.0027565081798977546
19252967369.829792,6891578356.220707,44150368130.29317,BMU,Bermuda,4343.386,0.11091812951453137,0.09561318107483809,0.1784854730639848,4343.386,0.007295447688215908
2403229781.867221,1309664536.0582175,4506456365.3939295,BOL,Bolivia (Plurinational State of),31760.8538350217,0.013845229521140768,0.018170176113632492,0.018218126604195996,31760.8538350217,0.05334769870475992
486137885594.35077,93230807347.03441,557020808911.8546,BRA,Brazil,1746894.289715306,2.800685417499429,1.293476414815629,2.251852629896875,1746894.289715306,2.9342029254275577
822743874.931423,4580402973.042815,1472748530.6792016,BRB,Barbados,4411.22,0.0047399037210199,0.06354812732586218,0.005953839782871599,4411.22,0.007409386306262389
330204717.439277,5120193.634465629,273057705.0031333,BRN,Brunei Darussalam,5694.51850059,0.0019023399828035316,7.103713776518182e-05,0.0011038828375659713,5694.51850059,0.009564902090358082
52844806.66741124,0.0,40795971.42168718,BTN,Bhutan,1597.8443970275,0.0003044438292297438,0.0,0.00016492474619500506,1597.8443970275,0.0026838485486721684
3119458466.3830442,795301997.4340403,3487945376.450877,BWA,Botswana,11785.8023216386,0.01797148935761868,0.011033953320896704,0.01410062037761404,11785.8023216386,0.01979623830374919
24501714.15181253,3916543.32610203,31242229.460970443,CAF,Central African Republic,2010.6508721868,0.0001411566462153514,5.43377941698976e-05,0.0001263020976055867,2010.6508721868,0.003377226490416575
784711144636.2069,200646269273.68185,1014162766950.7865,CAN,Canada,1297834.327381754,4.520793636655108,2.7837495395722196,4.099927789704908,1297834.327381754,2.1799311512687254
422116278561.2159,182569907397.1564,581066195260.3322,CHE,Switzerland,450778.9768370809,2.431851005420307,2.5329596084507897,2.349060248749538,450778.9768370809,0.7571591482917737
95309644468.60179,24012492809.8593,122431167169.01498,CHL,Chile,214765.4703491433,0.5490876957345495,0.3331473146517899,0.4949490959044544,214765.4703491433,0.36073474799781996
1406456982027.537,635465799007.0508,2135025561378.8376,CHN,China,6754483.54273015,8.102729033531126,8.816399287179777,8.631208831641313,6754483.54273015,11.345291748627236
