PARENT_COUNTRY_CODE,AFFILIATE_COUNTRY_CODE,OTHER_COUNTRY_CODE,UNRELATED_PARTY_REVENUES,RELATED_PARTY_REVENUES,TOTAL_REVENUES
USA,PRT,CHN,51228854.26736575,65278804.954303004,95626934.88697444
USA,PRT,CZE,9720497.29821531,12386426.678163055,18144879.004205853
USA,PRT,DEU,174444381.7093211,222287242.8406218,325628628.03946036
USA,PRT,DNK,11691935.289691696,14898548.371407153,21824886.592521455
USA,PRT,ESP,289426462.25496876,368804140.7201974,540261262.0648493
USA,PRT,FIN,9984237.548567118,12722499.94405068,18637192.80095483
USA,PRT,FRA,193854969.27159122,247021349.77404636,361861626.4049451
USA,PRT,GBR,149567060.35754728,190587103.69965193,279191087.65152574
USA,PRT,IRL,22680573.94594799,28900915.002745725,42336956.36855209
USA,PRT,ITA,51311842.848018624,65384553.86177611,95781846.48341648
USA,PRT,JPN,9934560.18751655,12659198.142574899,18544461.97887268
USA,PRT,LUX,9347355.475385033,11910947.524448162,17448349.493528735
USA,PRT,MAR,26598597.308657564,33893489.72569145,49650580.11340612
USA,PRT,MEX,12371396.365460629,15764357.448605588,23093210.4888882
USA,PRT,NLD,62926745.61021567,80184942.87730122,117462939.41519229
USA,PRT,NOR,9957972.543220565,12689031.536730986,18588164.92414594
USA,PRT,POL,16890218.510476876,21522505.14966814,31528322.24782051
USA,PRT,PRT,6427286609.571294,402551031.1642412,7655340389.931
USA,PRT,ROU,9489804.701220347,12092464.666734098,17714253.992828283
USA,PRT,RUS,12181900.716914337,15522891.000486668,22739486.239067435
USA,PRT,SGP,11146219.490627006,14203165.354998002,20806219.867874525
USA,PRT,SWE,14063778.525983175,17920889.866611857,26252315.27431889
USA,PRT,TUR,15079058.483002925,19214619.02054543,28147499.37965278
USA,PRT,USA,33321186.339943346,603826546.7463617,374527416.33713305
USA,PRY,ARG,7155110.41381565,44326291.52229681,33252403.95269281
USA,PRY,BGD,730255.1411161139,4523969.638297583,3393761.596471899
USA,PRY,BOL,354641.8459297206,2197025.19451453,1648149.817033355
USA,PRY,BRA,18602484.873288024,115243388.26977697,86452522.14920865
USA,PRY,CHL,4263626.269717397,26413392.67227771,19814624.06928114
USA,PRY,CHN,323798.5004632258,2005949.0204794067,1504809.5576400126
USA,PRY,DEU,931959.5278218936,5773539.096957909,4331155.341342704
USA,PRY,DZA,369739.2385454639,2290554.3488682965,1718312.8989225943
USA,PRY,ECU,531492.1812755943,3292622.476314788,2470037.733498664
USA,PRY,ESP,1603561.5192772546,9934149.337538388,7452334.390122371
USA,PRY,GBR,638994.7004346024,3958606.329537024,2969641.091974459
USA,PRY,GRC,425309.5907888224,2634815.651779798,1976568.5642749579
USA,PRY,IND,1097689.1454694371,6800242.9381088745,5101361.23254748
USA,PRY,ISR,533300.8742304578,3303827.4258620096,2478443.3883779207
USA,PRY,ITA,2021729.8443191682,12524724.466247508,9395714.89165392
USA,PRY,JPN,457740.41735601955,2835726.356099737,2127286.4264968876
USA,PRY,KOR,674342.7665935301,4177589.489081937,3133916.4290249683
USA,PRY,MEX,533990.8191990351,3308101.671826467,2481649.8139218176
