AFFILIATE_COUNTRY_CODE,AFFILIATE_COUNTRY_NAME,UNRELATED_PARTY_REVENUES,RELATED_PARTY_REVENUES,TOTAL_REVENUES,COUNTRY_CODE,CONS_2017_x,SHARE_OF_UNRELATED_PARTY_REVENUES,SHARE_OF_RELATED_PARTY_REVENUES,SHARE_OF_TOTAL_REVENUES,CONS_2017_y,SHARE_OF_CONS_2017
BEN,Benin,438082707.494,27695215.413,465777922.908,BEN,10555.709206588,0.0029953566262105745,0.00039037698070821435,0.0021446261399830106,10555.709206588,0.017730089918022895
BFA,Burkina Faso,1689174988.699,194472898.447,1883646761.3569999,BFA,11892.4700434489,0.011549603325299067,0.00274118622271772,0.00867305615877909,11892.4700434489,0.019975404692480984
BGD,Bangladesh,3884612442.469,201720885.43400002,4086343242.903,BGD,183416.3463266789,0.026560737095446582,0.002843349980392245,0.01881514366537229,183416.3463266789,0.30807861879878456
BGR,Bulgaria,10430933268.153,5332704478.877,15763639915.029999,BGR,44922.4844541548,0.0713206993744448,0.07516695726786096,0.07258204513426553,44922.4844541548,0.0754548721573396
BHR,Bahrain,3312344350.0959997,2151597515.965,5463931949.061,BHR,20832.0725292553,0.022647898279543707,0.03032777068010996,0.02515810799250588,20832.0725292553,0.03499097141591875
BHS,Bahamas,15762937772.313,3248402133.952,19011338779.477,BHS,9844.6347,0.107777867734004,0.045787743415892035,0.08753573773523907,9844.6347,0.01653572062520925
BIH,Bosnia and Herzegovina,1775102456.395,397898621.921,2173001083.316,BIH,17488.4189956358,0.012137125739066642,0.0056085666905687954,0.010005358125166845,17488.4189956358,0.02937474263909824
BLR,Belarus,1051536353.8659999,500831514.227,1552367868.093,BLR,38367.3499769278,0.0071897984818242765,0.007059453824492966,0.007147716851834423,38367.3499769278,0.06444442071051215
BLZ,Belize,3605549.0,8523071.0,12128620.0,BLZ,1641.102719,2.4652662393492955e-05,0.00012013666164806087,5.5844972925130417e-05,1641.102719,0.0027565081798977546
BMU,Bermuda,25072341480.322,98332542034.894,123404883516.216,BMU,4343.386,0.1714301954927662,1.3860430508486652,0.5682049877720595,4343.386,0.007295447688215908
BOL,Bolivia,2745152508.915,2047800672.229,4792768960.144,BOL,31760.8538350217,0.01876976793851135,0.0288647057477577,0.022067807616665967,31760.8538350217,0.05334769870475992
BRA,Brazil,455820958552.824,78693924189.935,534453685547.75903,BRA,1746894.289715306,3.116640545747989,1.1092275711611899,2.460836566662223,1746894.289715306,2.9342029254275577
BRB,Barbados,911070250.394,23965986216.721,24877056468.115,BRB,4411.22,0.006229372364574264,0.3378117555491796,0.11454382649623972,4411.22,0.007409386306262389
BRN,Brunei Darussalam,476161595.71599996,30155183.785,506316779.501,BRN,5694.51850059,0.003255718078975887,0.00042505138245517806,0.002331283100861646,5694.51850059,0.009564902090358082
BTN,Bhutan,64287360.0,0.0,64287360.0,BTN,1597.8443970275,0.000439559851287264,0.0,0.00029600448184773803,1597.8443970275,0.0026838485486721684
BWA,Botswana,2224541229.266,82735209.505,2307266394.983,BWA,11785.8023216386,0.015210128583885704,0.0011661913728846815,0.01062356882801909,11785.8023216386,0.01979623830374919
CAF,Central African Republic,15946108.0,0.0,15946108.0,CAF,2010.6508721868,0.0001090302799973533,0.0,7.342220050765921e-05,2010.6508721868,0.003377226490416575
CAN,Canada,533253137382.544,222573357279.303,755826531412.8469,CAN,1297834.327381754,3.6460770790142574,3.1372752984618564,3.480124876766332,1297834.327381754,2.1799311512687254
CHE,Switzerland,644760285699.489,507000841882.249,1151761181187.263,CHE,450778.9768370809,4.40849858040525,7.146413375705747,5.303164909084375,450778.9768370809,0.7571591482917737
CHL,Chile,118964702551.23401,25542593396.242,144511359072.476,CHL,214765.4703491433,0.8134119516162122,0.3600347692115106,0.665387565508378,214765.4703491433,0.36073474799781996
CHN,China (People's Republic of),820214068520.46,435776486229.774,1255979480165.04,CHN,6754483.54273015,5.608150248860354,6.1424728575377605,5.783027258198875,6754483.54273015,11.345291748627236
CIV,Côte d'Ivoire,5810159229.163,2747505054.858,8557667538.809999,CIV,40536.8576473225,0.03972651430586375,0.03872736542401354,0.0394028926627359,40536.8576473225,0.06808847392580263
CMR,Cameroon,10899215279.693,475165791.295,11374381076.987,CMR,28389.8051847337,0.0745225414061136,0.0066976834870366,0.052372158026589566,28389.8051847337,0.04768545521946827
COD,Democratic Republic of the Congo,443352198.931,4704183377.53,5147535578.461,COD,31256.0021365079,0.0030313863663088956,0.0663076591473606,0.02370129371769419,31256.0021365079,0.05249971532110155
COG,Congo,1964777268.276,842639260.137,2807416533.413,COG,6636.8728215686,0.013434012593704196,0.011877393452014082,0.012926458269614556,6636.8728215686,0.011147744751006616
COL,Colombia,111405819222.67,9421036916.362999,120826872984.245,COL,260089.0702229156,0.7617286715468272,0.13279391012875436,0.5563348056442805,260089.0702229156,0.4368633610017609
CPV,Cabo Verde,42704816.954,109563510.0,152268326.954,CPV,1473.2441496187,0.00029199088264862753,0.0015443487834190203,0.0007011037196400775,1473.2441496187,0.002474561465527898
CRI,Costa Rica,12719426271.098,7437843057.407,20157278261.505,CRI,49309.5099233286,0.08696809326410597,0.10483986755232748,0.09281209723431577,49309.5099233286,0.08282361967764482
CUB,Cuba,136358422.0,1210479.0,137568900.0,CUB,84088.0,0.0009323401629198336,1.706226617789328e-05,0.0006334217327148493,84088.0,0.1412399462554558
CUW,Curacao,331433145.199,1731845087.046,2063278233.245,CUW,2740.6765273743,0.0022661484935038957,0.02441116438538431,0.009500150641423176,2740.6765273743,0.004603427426385874
CYP,Cyprus,3528818390.9449997,1933587451.799,5462405857.7439995,CYP,18244.4639681177,0.02412802278929398,0.027254817126797684,0.025151081263308395,18244.4639681177,0.03064464739697155
CZE,Czech Republic,86283217346.15399,51962855314.246,138245951225.588,CZE,144528.4832237735,0.589954824482793,0.73244068565834,0.636539144865769,144528.4832237735,0.2427599087016972
DEU,Germany,626356704111.0,276277935504.0,902635321314.0,DEU,2655523.466630593,4.28266551483545,3.8942663810343516,4.156090724257725,2655523.466630593,4.460398531383867
DJI,Djibouti,115086410.0,6449381.0,121535790.0,DJI,2324.761433986,0.0007868944262882329,9.090703374833232e-05,0.0005595989405212082,2324.761433986,0.0039048280372102917
DMA,Dominica,11303530.0,10311.0,11313841.0,DMA,540.9481481481,7.728701203193175e-05,1.4533835494895628e-07,5.2093407520742714e-05,540.9481481481,0.0009086134450983017
DNK,Denmark,40601078615.876,11255861046.206,51856966368.083,DNK,235047.3064698575,0.2776067344886611,0.1586566121607621,0.2387700235315307,235047.3064698575,0.39480150477229004
DOM,Dominican Republic,4862203842.468,2899220323.863,7761425293.1189995,DOM,64309.5575196864,0.03324494267494571,0.04086586291386176,0.0357366778211085,64309.5575196864,0.10801872381068227
DZA,Algeria,7399713669.184,1114953231.572,8514665872.7560005,DZA,104632.0515452627,0.05059496983535883,0.015715785910357594,0.03920489595111322,104632.0515452627,0.17574713796083846
ECU,Ecuador,13342510680.333,2673330714.028,16015841389.361,ECU,77675.205,0.09122838471584313,0.03768184348863817,0.07374328066688941,77675.205,0.13046857791339445
EGY,Egypt,19945458983.363,3834129607.516,23779588664.878998,EGY,189112.5354635932,0.13637553299098398,0.05404384539011375,0.10949064981514021,189112.5354635932,0.31764632700398254
ESP,Spain,274922840992.717,125157851918.932,399674252458.438,ESP,1010425.253395296,1.8797636596405702,1.7641583073264133,1.840258645040673,1010425.253395296,1.6971792465596391
EST,Estonia,2654098644.0030003,1019652917.414,3673743772.204,EST,18707.2536775953,0.018147194180313016,0.01437248352592908,0.016915372193423397,18707.2536775953,0.031421980591888714
ETH,Ethiopia,1503841610.0,104969764.0,1608811375.0,ETH,59623.2197132634,0.010282400684227812,0.0014795977906255622,0.007407605125605127,59623.2197132634,0.10014723085194743
FIN,Finland,35482298626.531,10882794043.375,46365109210.693,FIN,194157.1741188239,0.2426074722559498,0.15339805872489795,0.2134833368134104,194157.1741188239,0.3261196465328449
FJI,Fiji,660652259.61,192736453.104,853398755.503,FJI,4288.7928379812,0.004517158722753066,0.002716710215578704,0.003929386063328312,4288.7928379812,0.007203749285715541
FRA,France,432585660340.75,148205545524.063,580791178729.0,FRA,2014573.998174121,2.9577709915041304,2.0890263001435327,2.674192748332093,2014573.998174121,3.3838160406925075
FSM,Micronesia,574218907.0,210616955.0,784835863.0,FSM,408.880403,0.003926177360016888,0.0029687442308271115,0.0036136953354879917,408.880403,0.0006867834428768566
GAB,Gabon,3791520440.0,1599212393.0,5390733964.0,GAB,7942.5581520812,0.02592422772935491,0.02254164469135911,0.024821075461689872,7942.5581520812,0.013340862983193572
