UNRELATED_PARTY_REVENUES,RELATED_PARTY_REVENUES,TOTAL_REVENUES,COUNTRY_CODE,COUNTRY_NAME,CONS_2019,SHARE_OF_UNRELATED_PARTY_REVENUES,SHARE_OF_RELATED_PARTY_REVENUES,SHARE_OF_TOTAL_REVENUES,SHARE_OF_CONS_2019
170532391.64885923,448347006.95007086,1588458314.7195375,CUW,Curaçao,2541.6005273743,0.0030521917966269563,0.017653114215610385,0.01924718762309963,0.005592283631057152
411030392.3565179,438215130.7898881,1204939094.856932,CYP,Cyprus,20471.8303607843,0.0073566293159022566,0.01725418400240157,0.014600124295495912,0.04504416826772748
14204241776.692347,9372308933.061218,24548324777.42908,CZE,Czechia,167653.0213999935,0.2542277734390544,0.3690231840395451,0.2974495512067538,0.3688869423713272
374256368483.9184,241291458569.36307,598707439258.6361,DEU,Germany,2807762.97383529,6.698447178727833,9.50055562175425,7.254477066205607,6.177920861028783
19010498283.77677,16820058444.925718,34536185325.670395,DNK,Denmark,245530.3618919514,0.34025023838878665,0.6622691982743228,0.41847144025726846,0.540240454370069
3039251125.8886766,448969889.4031592,3208415208.790789,DOM,Dominican Republic,70147.254108893,0.05439657102462688,0.017677639449228132,0.03887604032423473,0.15434500295844392
2136940164.5563622,1009482335.1421919,3358101452.378255,DZA,Algeria,103458.7805544412,0.03824699329598136,0.039747130425007465,0.04068977329300554,0.22764035447437164
3365050366.828925,408811504.8286436,3943308680.2882185,ECU,Ecuador,80080.014,0.06022773166765987,0.016096452246862628,0.04778066967322678,0.17620005451040574
10554184475.811453,1881402055.683148,12730452939.901623,EGY,Egypt,286477.8363095841,0.18889898256683937,0.07407790140139695,0.15425360174125133,0.6303371821809597
91562249887.29628,44077891976.08699,135997407641.38643,ESP,Spain,1061223.773160783,1.6387827865697009,1.7355130052732857,1.6478667377501137,2.3350106641922967
402871181.95006275,235381882.04651302,640437050.7426839,EST,Estonia,21537.7167452784,0.0072105956220758416,0.009267873284844217,0.007760110518610263,0.04738943807561938
337025323.74571973,10713823.451064914,333327781.0106962,ETH,Ethiopia,72082.9091310039,0.00603208527392462,0.00042184367495643003,0.004038898774776532,0.15860402469649304
10914704491.5472,7074737588.333989,17537173413.705624,FIN,Finland,203329.0357411761,0.19535157625833136,0.27855912665039845,0.21249614418243262,0.44738487659534454
42153102.28068914,50276661.72262808,169271875.24024475,FJI,Fiji,4475.5168349113,0.0007544569787563705,0.001979581971131568,0.002051050072811099,0.00984747967543574
222218929611.55853,116848674500.61253,336530298348.11273,FRA,France,2090116.003003918,3.977278377777088,4.600773429790525,4.0777033511939935,4.5988822337413895
76146294.52810277,29817877.807001382,192603251.86396754,GAB,Gabon,8213.7046270515,0.0013628677417529787,0.0011740424145459465,0.0023337539871793405,0.01807261426076731
600012579288.2047,210478556429.0913,809707704986.5199,GBR,United Kingdom,2390828.631212568,10.7390358785758,8.287335342897302,9.811145796732228,5.260540228485639
